,Date_added,GRE_Q,GRE_V,GRE_W,GRE_sub,ST,Undergrad_GPA,admission_date,admission_status,admission_via,degree,institution,notes,program,season
2004,18 Feb 2019,169.0,155.0,3.5,,I,3.58,19 Feb 2019,Accepted,E-mail,PhD,University Of Florida,,Statistics,F19
2005,18 Feb 2019,170.0,167.0,4.5,,A,4.0,19 Feb 2019,Rejected,E-mail,PhD,Carnegie Mellon University,,Statistics,F19
2006,18 Feb 2019,170.0,157.0,4.0,,I,3.89,18 Feb 2019,Accepted,E-mail,PhD,University Of Florida,Received an email from the coordinator saying that they would give me an offer and asking me if I am still interested in their program.  $20k for 9 month TA + extra $ summer TA + tuition fee waiver + health insurance.,Statistics,F19
2007,18 Feb 2019,169.0,155.0,3.5,,I,3.58,19 Feb 2019,Rejected,Website,PhD,Carnegie Mellon University,Expected,Statistics,F19
2008,18 Feb 2019,,,,,I,,19 Feb 2019,Rejected,Website,PhD,Carnegie Mellon University,,Statistics,F19
2009,18 Feb 2019,159.0,155.0,3.0,,A,3.57,18 Feb 2019,Rejected,E-mail,PhD,Carnegie Mellon University,Email with notification on website.,Statistics,F19
2010,18 Feb 2019,0.0,0.0,3.0,,U,,18 Feb 2019,Accepted,E-mail,PhD,Purdue University - West Lafayette,,Statistics,F19
2011,18 Feb 2019,170.0,158.0,3.5,99.0,I,3.8,18 Feb 2019,Accepted,E-mail,PhD,Purdue University - West Lafayette,,Statistics,F19
2012,18 Feb 2019,,,,,U,,18 Feb 2019,Rejected,E-mail,PhD,Carnegie Mellon University,,Statistics,F19
2013,18 Feb 2019,170.0,158.0,3.5,99.0,I,3.8,18 Feb 2019,Rejected,Website,PhD,Carnegie Mellon University,,Statistics,S19
2014,18 Feb 2019,170.0,168.0,5.5,,A,3.8,18 Feb 2019,Rejected,Website,PhD,Carnegie Mellon University,"Email to check website.  I'm probably gonna go to Duke, though, so insert your prior dream school/posterior dream school jokes here. --Roadrunner",Statistics,F19
2015,18 Feb 2019,,,,,I,,18 Feb 2019,Rejected,Website,PhD,Carnegie Mellon University,,Statistics,F19
2016,18 Feb 2019,,,,,A,,18 Feb 2019,Rejected,E-mail,PhD,Carnegie Mellon University,,Statistics,F19
2017,18 Feb 2019,164.0,151.0,3.5,,U,3.95,18 Feb 2019,Rejected,E-mail,PhD,Carnegie Mellon University,As expected,Statistics,F19
2018,18 Feb 2019,170.0,151.0,3.0,,U,3.5,18 Feb 2019,Rejected,E-mail,PhD,Carnegie Mellon University,,Statistics,F19
2019,18 Feb 2019,164.0,165.0,5.0,,A,3.9,18 Feb 2019,Rejected,E-mail,PhD,Carnegie Mellon University,,Statistics,F19
2020,18 Feb 2019,,,,,U,,18 Feb 2019,Rejected,E-mail,PhD,Carnegie Mellon University (CMU) - Robotics Institute,,Statistics,F19
2021,18 Feb 2019,167.0,161.0,4.0,,U,,18 Feb 2019,Rejected,Postal Service,PhD,Carnegie Mellon University,,Statistics,F19
2022,18 Feb 2019,168.0,167.0,4.0,,A,3.91,18 Feb 2019,Rejected,E-mail,PhD,Carnegie Mellon University,,Statistics,F19
2023,18 Feb 2019,162.0,166.0,5.5,,A,3.91,18 Feb 2019,Rejected,E-mail,PhD,Carnegie Mellon University,,Statistics,F19
2024,18 Feb 2019,,,,,U,,18 Feb 2019,Rejected,Website,PhD,Carnegie Mellon University,,Statistics,F19
2025,18 Feb 2019,,,,,U,,18 Feb 2019,Rejected,Website,PhD,Carnegie Mellon University,,Statistics,F19
2026,18 Feb 2019,164.0,163.0,4.5,,A,3.9,18 Feb 2019,Rejected,E-mail,PhD,Carnegie Mellon University,web status,Statistics,F19
2027,18 Feb 2019,164.0,165.0,5.0,,A,3.9,18 Feb 2019,Accepted,E-mail,PhD,Colorado State University,,Statistics,F19
2028,18 Feb 2019,,,,,U,,15 Feb 2019,Accepted,E-mail,PhD,University Of Connecticut (UConn),,Statistics,F19
2029,18 Feb 2019,,,,,U,,18 Feb 2019,Rejected,E-mail,Masters,Pennsylvania State University,I got accepted by UW so I'm not sure what goes wrong here.,Statistics,F19
2030,18 Feb 2019,167.0,164.0,4.0,,U,,18 Feb 2019,Rejected,E-mail,PhD,Penn State University,Pretty surprised by this. Master's degree 3.7 GPA from good statistics school,Statistics,F19
2031,18 Feb 2019,170.0,157.0,4.0,,I,3.2,18 Feb 2019,Rejected,E-mail,Masters,Penn State (Pennsylvania State University),Not from Statistics background but have been working in analytics for 3 years. Can't explain disappointment in words :( What can I do this year to get an admit for fall'20 at least?,Statistics,F19
2032,18 Feb 2019,,,,,U,,18 Feb 2019,Rejected,Website,PhD,University Of Minnesota,,Statistics,F19
2033,18 Feb 2019,168.0,161.0,3.5,,U,3.9,18 Feb 2019,Rejected,E-mail,PhD,Penn State University,rejection letter sent me twice !!!,Statistics,F19
2034,18 Feb 2019,,,,,U,,30 Jan 2019,Rejected,E-mail,PhD,North Carolina State University,,Statistics,F19
2035,18 Feb 2019,166.0,162.0,5.0,,A,3.95,18 Feb 2019,Rejected,E-mail,PhD,Penn State University,"Domestic student, applied to PhD program w/ a master's degree and work experience",Statistics,F19
2036,18 Feb 2019,,,,,I,,18 Feb 2019,Rejected,E-mail,PhD,Penn State University,,Statistics,F19
2037,18 Feb 2019,,,,,U,,18 Feb 2019,Rejected,E-mail,PhD,Penn State (Pennsylvania State University),So they don't have a day off on President's Day???,Statistics,F19
2038,18 Feb 2019,,,,,U,,18 Feb 2019,Rejected,E-mail,PhD,Penn State University,This is a firm rejection.....,Statistics,F19
2039,18 Feb 2019,,,,,U,,18 Feb 2019,Rejected,E-mail,PhD,Penn State University,around 400 applicants,Statistics,F19
2040,18 Feb 2019,170.0,155.0,4.5,,I,3.87,18 Feb 2019,Rejected,E-mail,PhD,Penn State (Pennsylvania State University),Can't believe what is happening...,Statistics,F19
2041,18 Feb 2019,,,,,U,,18 Feb 2019,Rejected,E-mail,PhD,Penn State (Pennsylvania State University),,Statistics,F19
2042,18 Feb 2019,,,,,I,,14 Feb 2019,Accepted,E-mail,Masters,University Of Minnesota,,Statistics,F19
2043,18 Feb 2019,150.0,169.0,3.0,,I,3.7,14 Feb 2019,Accepted,E-mail,PhD,Penn State,Nothing special in my profile.,Statistics,F19
2044,18 Feb 2019,,,,,U,,15 Feb 2019,Accepted,E-mail,PhD,Harvard University,,Statistics,F19
2045,18 Feb 2019,,,,,I,,14 Feb 2019,Accepted,E-mail,PhD,University Of South Carolina,with TA,Statistics,F19
2046,17 Feb 2019,,,,,,,13 Feb 2019,Accepted,E-mail,PhD,"University Of California, Berkeley",Visit Day is Mar 4-5,Statistics,F19
2047,16 Feb 2019,170.0,167.0,5.0,,A,3.75,14 Feb 2019,Rejected,E-mail,PhD,Chicago Booth School Of Business,"Didn't get an interview, so this was expected.",Econometrics And Statistics,F19
2048,16 Feb 2019,,,,,O,,17 Feb 2019,Other,Other,PhD,"University Of California, Berkeley","For anyone who got in this program, do you know when the visiting day is? And did they actually started giving out admissions? Thanks!",Statistics,F19
2049,16 Feb 2019,170.0,167.0,4.5,,A,3.5,15 Feb 2019,Rejected,E-mail,Masters,University Of Washington,5+ years' work experience in data science. Not sure what I was missing.,Statistics,F19
2050,16 Feb 2019,170.0,167.0,4.5,,A,3.5,12 Feb 2019,Accepted,E-mail,Masters,Duke University,5+ years' work experience in data science,Statistics,F19
2051,16 Feb 2019,,,,,I,,16 Feb 2019,Accepted,E-mail,PhD,University Of Minnesota,,Statistics,F19
2052,16 Feb 2019,,,,,O,,16 Feb 2019,Other,Other,PhD,Harvard Graduate School Of Arts And Sciences,"To the poster below: I have heard that all results will come out before the end of Feb. This is from the student administrator at Harvard. However, with all those offers below, I think I am not getting any acceptance this year... I hate this depressing and stressful waiting game",Statistics,F19
2053,16 Feb 2019,169.0,166.0,5.0,,A,3.7,15 Feb 2019,Accepted,E-mail,PhD,University Of Connecticut (UConn),"very grateful for this offer, funding (TA + fellowship) and health benefits ~ (renews w satisfactory performance)",Statistics,F19
2054,16 Feb 2019,,,,,I,,16 Feb 2019,Other,Other,PhD,Harvard Graduate School Of Arts And Sciences,To the poster below: Has anyone gotten any news from Harvard about waiting list?,Statistics,F19
2055,16 Feb 2019,,,,,I,,15 Feb 2019,Accepted,E-mail,PhD,Harvard Graduate School Of Arts And Sciences,"Notice via e-mail, formal offer next week.",Statistics,F19
2056,16 Feb 2019,0.0,0.0,0.0,690.0,A,3.75,13 Feb 2019,Rejected,E-mail,PhD,Purdue University - West Lafayette,,Statistics,F19
2057,16 Feb 2019,170.0,170.0,5.0,,I,3.8,30 Jan 2019,Rejected,E-mail,PhD,NCSU (North Carolina State University),Sent an auto generated mail saying update on application available. Rejection letter on website. Had very little in the way of relevant academic experience.,Statistics,F19
2058,16 Feb 2019,170.0,170.0,5.0,,I,3.8,13 Feb 2019,Rejected,E-mail,PhD,University Of Illinois,Had very little in the way of relevant academic research experience.,Statistics,F19
2059,16 Feb 2019,170.0,170.0,5.0,,I,3.8,16 Feb 2019,Accepted,E-mail,PhD,University Of Connecticut,,Statistics,F19
2060,16 Feb 2019,170.0,170.0,5.0,,I,3.8,14 Feb 2019,Accepted,E-mail,PhD,University Of Florida,,Statistics,F19
2061,15 Feb 2019,,,,,I,,16 Feb 2019,Accepted,E-mail,PhD,Harvard University,,Statistics,F19
2062,15 Feb 2019,,,,,U,,31 Jan 2019,Accepted,Website,Masters,Yale Graduate School Of Arts And Sciences,,Statistics,F19
2063,15 Feb 2019,167.0,159.0,5.5,,A,3.7,16 Feb 2019,Accepted,E-mail,Masters,University Of Pittsburgh,Email from program director,Applied Statistics,F19
2064,15 Feb 2019,,,,,I,,16 Feb 2019,Accepted,E-mail,PhD,University Of Minnesota,,Statistics,F19
2065,15 Feb 2019,,,,,,,15 Feb 2019,Accepted,E-mail,Masters,Simon Fraser University (SFU),,Statistics,F19
2066,15 Feb 2019,165.0,168.0,5.0,,A,3.66,15 Feb 2019,Rejected,E-mail,Masters,University Of Washington,Not entirely surprised. Great Stats GPA but poor Math GPA. Oh well!,Statistics,F19
2067,15 Feb 2019,168.0,165.0,4.0,790.0,A,3.75,15 Feb 2019,Accepted,E-mail,PhD,Harvard Graduate School Of Arts And Sciences (GSAS),,Statistics,F19
2068,15 Feb 2019,,,,,U,,15 Feb 2019,Accepted,E-mail,PhD,University Of Connecticut (UConn),No funding at this time.,Statistics,F19
2069,15 Feb 2019,,,,,,,15 Feb 2019,Accepted,E-mail,PhD,Harvard,,Statistics,F19
2070,15 Feb 2019,,,,,,,15 Feb 2019,Accepted,E-mail,PhD,Harvard Graduate School Of Arts And Sciences,,Statistics,F19
2071,15 Feb 2019,166.0,170.0,4.5,,A,3.78,15 Feb 2019,Accepted,E-mail,PhD,Purdue University - West Lafayette,,Statistics,F19
2072,15 Feb 2019,164.0,151.0,3.5,,U,3.95,15 Feb 2019,Rejected,Website,PhD,Purdue University - West Lafayette,,Statistics,F19
2073,15 Feb 2019,170.0,163.0,5.0,,U,3.93,14 Feb 2019,Rejected,E-mail,Masters,Yale University,"LOL
Can't believe it",Statistics,F19
2074,15 Feb 2019,,,,,U,,14 Feb 2019,Rejected,E-mail,PhD,University Of Washington,,Statistics,F19
2075,15 Feb 2019,,,,,I,,14 Feb 2019,Accepted,Website,Masters,University Of Toronto,"1 year of research, Statistics undergrad degree from Canada, 3.95 GPA in last 2 years, 3.85 overall",Statistics,F19
2076,15 Feb 2019,,,,,O,,15 Feb 2019,Other,Other,PhD,NYU Stern,"To the poster bellow, nothing here as well. Have no idea either if they are going to send interview requests or just jump to final decisions.",Statistics,F19
2077,15 Feb 2019,159.0,155.0,3.0,,A,3.57,15 Feb 2019,Rejected,E-mail,PhD,University Of Washington,"Second rejection, but the notification was very gently written. Holding out hope for the rest!",Statistics,F19
2078,15 Feb 2019,158.0,167.0,4.0,,U,,14 Feb 2019,Accepted,E-mail,PhD,University Of South Carolina,"Brief Skype interview on 2/12, got GA offer from the graduate director 2/14, no formal admission letter or funding info yet",Statistics,F19
2079,15 Feb 2019,170.0,152.0,3.5,,I,3.92,15 Feb 2019,Wait listed,E-mail,PhD,Penn State (Pennsylvania State University),,Statistics,F19
2080,15 Feb 2019,170.0,152.0,3.5,,I,3.92,15 Feb 2019,Accepted,E-mail,Masters,University Of Washington,,Statistics,F19
2081,14 Feb 2019,,,,,O,,14 Feb 2019,Accepted,E-mail,PhD,University Of British Columbia,Canadian with 2 Masters and 3 ML publications. 18K/year funding,Statistics,F19
2082,14 Feb 2019,170.0,157.0,3.5,,I,,13 Feb 2019,Accepted,E-mail,Masters,University Of Washington,,Statistics,F19
2083,14 Feb 2019,,,,,U,,15 Feb 2019,Accepted,E-mail,PhD,University Of British Columbia,18k TA/RA,Statistics,F19
2084,14 Feb 2019,164.0,167.0,5.0,,A,3.93,14 Feb 2019,Wait listed,E-mail,PhD,Penn State University,,Statistics,F19
2085,14 Feb 2019,169.0,163.0,5.0,,I,3.8,14 Feb 2019,Other,E-mail,PhD,University Of Florida,E-mail from Graduate Coordinator asking if I am still interested in their program.,Statistics,F19
2086,14 Feb 2019,169.0,163.0,5.0,,I,3.8,14 Feb 2019,Accepted,E-mail,PhD,Penn State (Pennsylvania State University),,Statistics,F19
2087,14 Feb 2019,,,,,U,,14 Feb 2019,Accepted,E-mail,PhD,Virginia Tech,,Statistics,F19
2088,14 Feb 2019,,,,,U,,13 Feb 2019,Rejected,E-mail,PhD,UIUC,,Statistics,F19
2089,14 Feb 2019,,,,,I,,14 Feb 2019,Rejected,E-mail,PhD,University Of Washington,Rejection after rejection! Exciting.,Statistics,F19
2090,14 Feb 2019,,,,,A,,14 Feb 2019,Accepted,Website,PhD,University Of Connecticut,,Statistics,F19
2091,14 Feb 2019,,,,,O,,14 Feb 2019,Accepted,E-mail,Masters,University Of British Columbia,"Domestic Canadian student. 3.90/4.33 GPA in BSc Mathematics. One first author publication, four working papers, one conference talk. Full financial support. Still waiting on one more school...",Statistics,F19
2092,14 Feb 2019,170.0,156.0,0.0,,U,4.0,14 Feb 2019,Rejected,E-mail,PhD,University Of Washington,:),Statistics,F19
2093,14 Feb 2019,,,,,I,,14 Feb 2019,Rejected,E-mail,PhD,Chicago Booth,,Econometrics & Statistics,F19
2094,14 Feb 2019,,,,,U,,14 Feb 2019,Rejected,E-mail,PhD,University Of Washington,ruined my valentine's day,Statistics,F19
2095,14 Feb 2019,,,,,U,,14 Feb 2019,Rejected,E-mail,PhD,University Of Washington,,Statistics,F19
2096,14 Feb 2019,170.0,163.0,4.0,,,3.64,13 Feb 2019,Rejected,E-mail,Masters,Yale University,,Statistics,F19
2097,14 Feb 2019,,,,,I,,14 Feb 2019,Accepted,E-mail,Masters,University Of Washington,,Statistics,F19
2098,14 Feb 2019,,,,,U,,14 Feb 2019,Accepted,E-mail,Masters,University Of Washington,"will decline, get better ms offer",Statistics,F19
2099,14 Feb 2019,,,,,I,,14 Feb 2019,Rejected,Website,PhD,Purdue University,Expected.,Statistics,F19
2100,14 Feb 2019,,,,,A,,14 Feb 2019,Rejected,E-mail,Masters,University Of Minnesota,cool :),Statistics,F19
2101,14 Feb 2019,,,,,I,,13 Feb 2019,Interview,E-mail,PhD,University Of Michigan,,Statistics,F19
2102,14 Feb 2019,170.0,161.0,3.0,910.0,I,,14 Feb 2019,Rejected,E-mail,PhD,Purdue University - West Lafayette,,Statistics,F19
2103,14 Feb 2019,,,,,I,,14 Feb 2019,Accepted,E-mail,PhD,University Of Connecticut (UConn),,Statistics,F19
2104,13 Feb 2019,170.0,152.0,3.5,,I,3.92,14 Feb 2019,Rejected,E-mail,PhD,University Of Illinois,,Statistics,F19
2105,13 Feb 2019,170.0,152.0,3.5,82.0,I,3.92,12 Feb 2019,Rejected,E-mail,PhD,University Of Chicago,,Statistics,F19
2106,13 Feb 2019,,,,,I,,14 Feb 2019,Rejected,E-mail,PhD,UIUC,"Interviewed about two weeks ago. When I received the rejection letter this morning, I cannot believe my eyes. It is too simple, sometimes naive. It reads, we cannot provide you with a detailed explanation as to why your particular application was denied. This is ridiculous. I did not expect to pay 90 bucks to get rejected for no reason.",Statistics,F19
2107,13 Feb 2019,166.0,169.0,5.0,,A,3.78,13 Feb 2019,Rejected,Website,Masters,Yale University,Always fun to start out with a rejection. Oh well. Thanks for the consideration Yale!,Statistics,F19
2108,13 Feb 2019,,,,,I,,13 Feb 2019,Accepted,E-mail,Masters,University Of Washington,my first offer! e-mail with admissions offer letter.,Statistics,F19
2109,13 Feb 2019,,,,,U,,13 Feb 2019,Accepted,E-mail,PhD,Virginia Tech,,Statistics,F19
2110,13 Feb 2019,,,,,U,,13 Feb 2019,Rejected,Website,Masters,Yale Graduate School Of Arts And Sciences,,Statistics,F19
2111,13 Feb 2019,170.0,167.0,5.5,,I,3.9,13 Feb 2019,Accepted,E-mail,Masters,University Of Washington,American studying outside US,Statistics,F19
2112,13 Feb 2019,,,,,U,,13 Feb 2019,Rejected,E-mail,Masters,Yale University,,Statistics,F19
2113,13 Feb 2019,,,,,U,,13 Feb 2019,Rejected,E-mail,PhD,UIUC,,Statistics,F19
2114,13 Feb 2019,,,,,U,,13 Feb 2019,Rejected,E-mail,Masters,Yale University,"Sad
I am going to Chicago",Statistics,F19
2115,13 Feb 2019,162.0,144.0,4.5,,U,4.0,13 Feb 2019,Rejected,E-mail,PhD,University Of Illinois,Wake up this morning and get this email...good luck to all.,Statistics,F19
2116,13 Feb 2019,,,,,U,,13 Feb 2019,Rejected,E-mail,PhD,University Of Illinois,No Interview.,Statistics,F19
2117,13 Feb 2019,,,,,U,,13 Feb 2019,Rejected,E-mail,PhD,"University Of Illinois, Urbana Champaign",,Statistics,F19
2118,13 Feb 2019,170.0,160.0,4.0,,I,3.92,13 Feb 2019,Rejected,E-mail,PhD,University Of Illinois,cannot believe get rejection without interview,Statistics,F19
2119,13 Feb 2019,170.0,161.0,4.0,,U,,13 Feb 2019,Rejected,E-mail,PhD,UIUC,first thing in the morning. First of many incoming rejections. Sad..,Statistics,F19
2120,13 Feb 2019,,,,,U,,13 Feb 2019,Rejected,E-mail,PhD,University Of Illinois,,Statistics,F19
2121,13 Feb 2019,,,,,U,,13 Feb 2019,Rejected,E-mail,PhD,University Of Illinois,,Statistics,S19
2122,13 Feb 2019,,,,,I,,13 Feb 2019,Rejected,E-mail,PhD,University Of Illinois,Rejected:( Well I did receive admission from another school but it still hurts to get rejected.,Statistics,F19
2123,13 Feb 2019,170.0,155.0,4.5,,I,3.87,13 Feb 2019,Rejected,E-mail,PhD,University Of Illinois Urbane Champion (UIUC),"This is my safety school. 
1st feedback is rejection, feeling sooooo desperate...But thankful at least the school sends an update.",Statistics,F19
2124,13 Feb 2019,,,,,I,,13 Feb 2019,Rejected,E-mail,PhD,University Of Illinois,Got a better place to go,Statistics,F19
2125,13 Feb 2019,,,,,I,,13 Feb 2019,Accepted,E-mail,PhD,University Of Connecticut (UConn),,Statistics,F19
2126,13 Feb 2019,,,,,I,,13 Feb 2019,Rejected,E-mail,Masters,Purdue University - West Lafayette,,Statistics,F19
2127,13 Feb 2019,164.0,160.0,3.5,,I,3.39,13 Feb 2019,Rejected,Website,Masters,Purdue University - West Lafayette,E-mail notifies me to check the updated status in web. And rejected,Statistics,F19
2128,13 Feb 2019,170.0,160.0,4.0,,I,3.92,11 Feb 2019,Rejected,Website,PhD,University Of Chicago,,Statistics,F19
2129,13 Feb 2019,160.0,170.0,3.5,960.0,I,3.92,12 Feb 2019,Accepted,E-mail,PhD,University Of Chicago,"B.S. in Statistics from top school of mathematical sciences in China, with 3 years work experience.",Statistics,F19
2130,13 Feb 2019,170.0,162.0,4.0,800.0,O,3.98,13 Feb 2019,Wait listed,E-mail,PhD,Carnegie Mellon University,,Statistics,F19
2131,12 Feb 2019,170.0,160.0,4.0,,U,3.79,12 Feb 2019,Accepted,E-mail,PhD,"University Of California, Los Angeles (UCLA)",,Statistics,F19
2132,12 Feb 2019,170.0,154.0,3.0,,I,3.97,13 Feb 2019,Accepted,E-mail,Masters,Purdue University - West Lafayette,applied PhD,Statistics,F19
2133,12 Feb 2019,170.0,155.0,4.0,,I,,12 Feb 2019,Accepted,E-mail,PhD,"University Of Californa, Los Angeles (UCLA)",decline... got a better place to go,Statistics,F19
2134,12 Feb 2019,170.0,164.0,4.5,880.0,U,3.97,12 Feb 2019,Accepted,E-mail,PhD,"University Of Californa, Los Angeles (UCLA)",with funding,Statistics,F19
2135,12 Feb 2019,,,,,U,,12 Feb 2019,Accepted,E-mail,PhD,"University Of Californa, Los Angeles (UCLA)",,Statistics,F19
2136,12 Feb 2019,170.0,159.0,4.5,,U,,12 Feb 2019,Rejected,Website,PhD,University Of Chicago,,Statistics,F19
2137,12 Feb 2019,,,,,U,,13 Feb 2019,Rejected,E-mail,PhD,University Of Chicago,"Although this is sort of expected, I'm still very sad because UChicago is my favorite school in the world...",Statistics,F19
2138,12 Feb 2019,168.0,155.0,4.0,,U,3.7,13 Feb 2019,Rejected,E-mail,PhD,University Of Chicago,,Statistics,F19
2139,12 Feb 2019,168.0,165.0,44.0,790.0,A,3.75,12 Feb 2019,Wait listed,E-mail,PhD,Carnegie Mellon University,,Statistics,F19
2140,12 Feb 2019,170.0,155.0,3.0,880.0,I,,12 Feb 2019,Accepted,E-mail,PhD,University Of Pennsylvania (Wharton),,Statistics,F19
2141,12 Feb 2019,162.0,166.0,5.5,,A,3.91,12 Feb 2019,Accepted,E-mail,PhD,Rice University,Informal e-mail from the admissions committee chair. I received an e-mail about the visit day before getting an admissions decision.,Statistics,F19
2142,12 Feb 2019,,,,,O,,12 Feb 2019,Accepted,E-mail,PhD,University Of Waterloo,Had an interview with my potential supervisor earlier today. 10 minutes after the interview professor sent me a letter saying he is making an admission offer for me.,Statistics,F19
2143,12 Feb 2019,168.0,162.0,5.0,,,3.88,12 Feb 2019,Accepted,E-mail,PhD,University Of Pennsylvania,,Statistics,F19
2144,12 Feb 2019,,,,,,,12 Feb 2019,Other,Other,PhD,Harvard University,Has anyone heard back any news?,Statistics,F19
2145,12 Feb 2019,166.0,170.0,5.5,,A,3.74,10 Feb 2019,Accepted,Website,Masters,Miami University (OH),"Notice of acceptance via email to check website on 2/10, then email today from department: GA with full tuition waiver and $18k stipend. Also accepted for MS in Math. I'm coming from a nontraditional background so I'm very pleased with these results!",Statistics,F19
2146,12 Feb 2019,170.0,157.0,4.0,,O,3.88,12 Feb 2019,Accepted,E-mail,Masters,University Of Waterloo,U of T international undergrad. The department sent out an email to inform me I was admitted and invite me to the Grad Visit Day. Haven't received the official offer yet. They said it would arrive in a week.,Statistics,F19
2147,12 Feb 2019,,,,,I,,12 Feb 2019,Accepted,Website,PhD,University Of Chicago,,Statistics,F19
2148,12 Feb 2019,170.0,162.0,4.0,800.0,O,3.98,12 Feb 2019,Accepted,Website,PhD,University Of Chicago,American studying & living abroad. Received email telling me to check the website.,Statistics,F19
2149,12 Feb 2019,168.0,165.0,4.0,790.0,A,3.75,12 Feb 2019,Accepted,E-mail,PhD,The Wharton School - University Of Pennsylvania,unofficial email from department chair.,Statistics,F19
2150,11 Feb 2019,,,,,I,,11 Feb 2019,Accepted,E-mail,Masters,Queens University,,Statistics,F19
2151,11 Feb 2019,,,,,I,,11 Feb 2019,Accepted,E-mail,PhD,University Of Chicago,"Notice via e-mail, and formal offer viewed on website.",Statistics,F19
2152,11 Feb 2019,,,,,,,12 Feb 2019,Rejected,E-mail,PhD,University Of Chicago,,Statistics,F19
2153,11 Feb 2019,162.0,166.0,5.5,,A,3.91,8 Feb 2019,Accepted,E-mail,PhD,"University Of California, Santa Cruz",,Statistics,F19
2154,11 Feb 2019,,,,,A,,11 Feb 2019,Accepted,E-mail,PhD,University Of Minnesota,,Statistics,F19
2155,11 Feb 2019,168.0,167.0,5.0,,A,4.0,8 Feb 2019,Accepted,E-mail,PhD,UC Santa Cruz,,Statistics,F19
2156,11 Feb 2019,166.0,170.0,4.5,,A,3.78,11 Feb 2019,Accepted,E-mail,PhD,University Of Minnesota,,Statistics,F19
2157,11 Feb 2019,,,,,U,,11 Feb 2019,Rejected,E-mail,PhD,University Of Chicago,,Statistics,F19
2158,11 Feb 2019,,,,,,,11 Feb 2019,Rejected,E-mail,PhD,U Of Chicago,,Statistics,F19
2159,11 Feb 2019,,,,,I,,11 Feb 2019,Rejected,Website,PhD,University Of Chicago,,Statistics,F19
2160,11 Feb 2019,,,,,U,,11 Feb 2019,Interview,Other,PhD,"University Of California, Davis",Skype interviewed with admission chair.,Statistics,F19
2161,11 Feb 2019,161.0,167.0,4.0,,U,,11 Feb 2019,Rejected,E-mail,PhD,University Of Chicago,,Statistics,F19
2162,11 Feb 2019,,,,,U,,11 Feb 2019,Rejected,E-mail,PhD,University Of Chicago,"Although frustrated, but it is rather hard to get admitted to Chicago. Best luck for the rest applicants!",Statistics,F19
2163,11 Feb 2019,170.0,164.0,4.5,880.0,U,3.97,11 Feb 2019,Interview,Phone,PhD,"University Of California, Davis",Skype interview with admission chair,Statistics,F19
2164,11 Feb 2019,168.0,162.0,5.0,970.0,I,4.0,11 Feb 2019,Accepted,Phone,PhD,Penn State University,,Statistics,F19
2165,10 Feb 2019,,,,,A,,9 Feb 2019,Accepted,E-mail,PhD,University Of Washington,,Statistics,F19
2166,10 Feb 2019,152.0,170.0,3.5,,I,3.92,10 Feb 2019,Interview,E-mail,PhD,University Of Michigan,,Statistics,F19
2167,9 Feb 2019,164.0,165.0,5.0,,A,3.9,9 Feb 2019,Accepted,E-mail,PhD,University Of Michigan,Informal notification,Statistics,F19
2168,9 Feb 2019,164.0,165.0,5.0,,A,3.9,9 Feb 2019,Accepted,E-mail,PhD,Rice University,Informal notification,Statistics,F19
2169,9 Feb 2019,162.0,149.0,3.5,,U,3.32,8 Feb 2019,Accepted,E-mail,Masters,University Of Connecticut (UConn),Already finished one master degree in civil engineering in another university while taking some statistical course. Waiting for other programs,Statistics,F19
2170,9 Feb 2019,,,,,U,,4 Feb 2019,Interview,E-mail,PhD,University Of Washington,Interviewed on Monday and then no news. Is there any similar applicants?,Statistics,F19
2171,9 Feb 2019,,,,,A,,9 Feb 2019,Accepted,E-mail,PhD,Pennsylvania State University,,Statistics,F19
2172,9 Feb 2019,168.0,165.0,4.0,790.0,A,3.75,5 Feb 2019,Accepted,E-mail,PhD,Stanford University,,Statistics,F19
2173,9 Feb 2019,168.0,162.0,5.0,,,3.88,9 Feb 2019,Accepted,E-mail,PhD,"University Of Californa, Los Angeles (UCLA)",,Statistics,F19
2174,9 Feb 2019,,,,,O,,1 Feb 2019,Accepted,E-mail,Masters,McGill University,Canadian student,Mathematics And Statistics,F19
2175,9 Feb 2019,168.0,167.0,4.0,,A,3.91,9 Feb 2019,Accepted,E-mail,PhD,"University Of Californa, Los Angeles (UCLA)",Emailed to check website and proceed through like 5 pages until seeing an acceptance!,Statistics,F19
2176,9 Feb 2019,168.0,162.0,5.0,,A,3.88,9 Feb 2019,Accepted,E-mail,PhD,University Of Washington,,Statistics,F19
2177,9 Feb 2019,170.0,168.0,5.5,,A,3.8,9 Feb 2019,Accepted,Website,PhD,"University Of Californa, Los Angeles (UCLA)","Email to check website.  They sent this out at roughly 3 am PST, for some reason. -- Roadrunner",Statistics,F19
2178,9 Feb 2019,,,,,I,,9 Feb 2019,Other,Other,PhD,University Of Washington,"To the UW posts below, are these the first round or all the offers? still no offer. T.T",Statistics,F19
2179,9 Feb 2019,,,,,A,,9 Feb 2019,Accepted,E-mail,PhD,University Of Washington,,Statistics,F19
2180,9 Feb 2019,168.0,167.0,4.0,,A,3.91,9 Feb 2019,Accepted,E-mail,PhD,University Of Washington,I don't understand how this is possible. In shock. The reach of all reaches! Admitted with funding plus fellowship for the first year.,Statistics,F19
